domain,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,label
sexhardtvxxxy.top,3,0,1877370.0,1.0,0.0,0,0.25,0.8254387245475501,1,0,511296.0,1.0,0.0,0,0.0909090909090909,0.0391891147394449,17,3.4992275471326924,"(0, 0)","(2, [13, 3])",0.1764705882352941,0.5,benign
dijiuke.com,1,0,2254003.0,1.0,0.0,0,0.1666666666666666,0.3548606146106754,0,0,0.0,0.0,0.0,0,0.0,0.0,11,3.277613436819116,"(0, 0)","(2, [7, 3])",0.4545454545454545,0.0,benign
maplebear.co.kr,6,0,856053.5,1.0,0.0,0,0.6,1.2065243307700269,0,0,0.0,0.0,0.0,0,0.0,0.0,15,3.373557262275185,"(0, 0)","(3, [9, 2, 2])",0.3333333333333333,0.0,benign
bauerfeind.de,4,71579904,1013330.75,1.0,0.0,0,0.4444444444444444,0.6045058134129131,1,0,407790.0,1.0,0.0,0,0.125,0.2560339401596741,13,3.180832987205441,"(0, 0)","(2, [10, 2])",0.4615384615384615,0.5,benign
fan-naruto.ru,4,0,667017.0,1.0,0.0,0,0.4444444444444444,0.9210162603479052,0,0,0.0,0.0,0.0,0,0.0,0.0,13,3.0850551027564768,"(0, 1)","(2, [10, 2])",0.3846153846153846,0.0,benign
jobruf.de,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,9,3.169925001442312,"(0, 0)","(2, [6, 2])",0.3333333333333333,0.5,benign
ligabold.dk,3,0,1356230.3333333333,1.0,0.0,0,0.4285714285714285,0.7239114180155863,0,0,0.0,0.0,0.0,0,0.0,0.0,11,3.095795255000934,"(0, 0)","(2, [8, 2])",0.2727272727272727,0.0,benign
triumemba.org,5,0,1441840.2,1.0,0.0,0,0.625,1.30175778462426,0,0,0.0,0.0,0.0,0,0.0,0.0,13,3.3927474104487847,"(0, 0)","(2, [9, 3])",0.3846153846153846,0.0,benign
zevera.com,3,0,1051247.3333333333,1.0,0.0,0,0.6,0.6225837273969324,1,0,247488.0,1.0,0.0,0,0.25,0.3646189706202767,10,3.1219280948873624,"(0, 0)","(2, [6, 3])",0.4,0.0,benign
peoplesweather.com,9,0,1220262.2222222222,1.0,0.0,0,0.6923076923076923,1.8873981146015424,2,0,299612.5,1.0,0.0,0,0.1666666666666666,0.2507869212128335,18,3.5032583347756456,"(0, 0)","(2, [14, 3])",0.3888888888888889,0.0,benign
slideflix.net,3,0,1425252.6666666667,1.0,0.0,0,0.625,0.9490389165368104,1,0,570199.0,1.0,0.0,0,0.1428571428571428,0.3495414450599577,13,3.238901256602631,"(0, 0)","(2, [9, 3])",0.3076923076923077,0.5,benign
imperial.cl,5,0,959178.0,1.0,0.0,0,0.7142857142857143,1.007548696312323,2,0,367315.0,1.0,0.0,0,0.3333333333333333,0.6231805842307494,11,3.095795255000934,"(0, 0)","(2, [8, 2])",0.3636363636363636,0.5,benign
lifestyler.co.kr,6,0,453683.0,1.0,0.0,0,0.5454545454545454,1.1439270617569393,1,0,98775.0,1.0,0.0,0,0.1,0.2167151047786684,16,3.5,"(0, 0)","(3, [10, 2, 2])",0.25,0.0,benign
russian-language-for-lovers.com,14,0,1176893.0714285714,1.0,0.0,0,0.6153846153846154,2.9778683793501157,7,0,315765.71428571426,1.0,0.0,0,0.28,1.9941873389971805,31,3.8646983261669607,"(0, 3)","(2, [27, 3])",0.3548387096774194,0.0,benign
saiseisha.co.jp,9,0,1114524.3333333333,1.0,0.0,0,1.1,2.6223241363429546,1,0,0.0,0.0,0.0,0,0.1111111111111111,0.2012508683834938,15,3.1898980954642875,"(0, 0)","(3, [9, 2, 2])",0.4,0.0,benign
quizzdedicat.com,6,0,1265935.8333333333,1.0,0.0,0,0.5454545454545454,2.067785332713323,2,0,388374.0,1.0,0.0,0,0.2,0.5807355672742939,16,3.5,"(0, 0)","(2, [12, 3])",0.375,0.0,benign
aspiration.com,7,0,1154992.4285714286,1.0,0.0,0,0.7777777777777778,1.8427862346095272,3,0,147070.0,1.0,0.0,0,0.375,0.7831719125264982,14,3.378783493486176,"(0, 0)","(2, [10, 3])",0.4285714285714285,0.5,benign
hanzhong.gov.cn,6,0,1093229.1666666667,1.0,0.0,0,0.6,1.3972262649201286,1,0,520184.0,1.0,0.0,0,0.1111111111111111,0.019798653171169,15,3.056564762130954,"(0, 0)","(3, [8, 3, 2])",0.2,0.0,benign
wens.com.cn,5,0,633217.8,1.0,0.0,0,0.8333333333333334,1.0196119451716237,2,108279600,0.0,1.0,0.0,0,0.4,0.2845679977328821,11,2.913977073182752,"(0, 0)","(3, [4, 3, 2])",0.1818181818181818,0.0,benign
4travellers.com.ar,11,0,929928.1818181818,1.0,0.0,0,0.8461538461538461,2.482670896822186,4,108279600,77820.0,1.0,0.0,0,0.3333333333333333,0.8530368318248085,18,3.4613201402110083,"(1, 0)","(3, [11, 3, 2])",0.2777777777777778,0.3333333333333333,benign
